nome;tipo;marca;categoria;cor;modelo
Celular Spice XT Grafite - Motorola;Celular;Motorola;Telefonia;Grafite;None
Aparad super 1000 plus 1000w 220v 2931641 vd trapp;Cortador de Grama;Trapp;ConstruÁ„o e Ferramentas;None;None
Bicicleta ElÈtrica 350W Track Bikes, Painel de Controles com setas, Farol, Indicador de Bateria e Velocidade, Suporta atÈ 130 Kg, Amarela - TKX-900A;Bicicleta;Track e Bikes;Esporte e Lazer;None;tkx-900a
Sennheiser HD 228;Fone de Ouvido;Sennheiser;EletrÙnicos;None;None
"C‚mera Digital DC885 8MP Zoom Digital 8x LCD 2.4"" Prata Pilha - Multilaser";C‚mera Digital;Multilaser;EletrÙnicos;None;None
Jogo de AÁ„o - Splash Gun - Candide;Game;Candide;None;None;None
Roteador 3G Branco D100 Wi-fi com Alcance de atÈ 100m - HUAWEI;Roteador;Huawei;None;None;None
Paneleiro Duplo c/ vidro Criativa Verde - Itatiaia;Paneleiro;Itatiaia;Casa e DecoraÁ„o;None;None
L‚mpada HalÛgena p/ Auto H4 c/ 55/60W, 5000K e 12V Cristal Blue Extreme 24589 - Alper;L‚mpada;Alper;Casa e DecoraÁ„o;None;55/60w
Capa de Silicone Rosa para Nokia C3 - Nokia;Capa;Nokia;Moda e AcessÛrios;Rosa;None
Estojo em Alum√≠nio Escovado p/ Zire  72 - PalmOne;Estojo;Palm;Papelaria e EscritÛrio;None;None
Cartucho de tinta HP 99 C9369WL 15 Mls COLORIDO;Cartucho;HP;Inform·tica;None;None
Bebedouro. mf- 40 220v bege-masterfrio;Bebedouro;Masterfrio;EletrodomÈsticos;None;37lk450
Pasta Carteiro Disney Cuties Teen 3 - Xeryus;Pasta;Xeryus;Papelaria e EscritÛrio;None;None
Relogio de pulso os10dj/0c technos preto technos;RelÛgio;Technos;Moda e AcessÛrios;Preto;os10dj/0c
Roteador Wireless 54MBPS G WRT54GH com alcance de at√© 100 metros e chave de seguran√ßa tipo WPA2- Linksys;Roteador;Linksys;Inform·tica;None;None
Guarda-sol standard am spirit - spirit;Guarda-Sol;Spirit;Casa e DecoraÁ„o;None;None
Porta-Retrato Leather 2 Fotos 10x15cm - Artimage;Porta Retrato;Artimage;Casa e DecoraÁ„o;None;None
